 Shri Hardeep Singh Puri ,https://twitter.com/hardeepspuri,https://www.facebook.com/HardeepSPuri,http://moud.gov.in/cms/telephone-directory.php
 Shri Alphons Kannanthanam ,https://twitter.com/alphonstourism,https://www.facebook.com/KJAlphons/,
,,,
 General (Retd.) V.K. Singh ,https://twitter.com/Gen_VKSingh,https://www.facebook.com/generalvksingh,http://meatel.nic.in/?650020
 Shri Inderjit Singh Rao ,https://twitter.com/Rao_InderjitS,https://www.facebook.com/RaoInderjitSingh,http://chemicals.nic.in/about-us/whos-who
 Dr. Jitendra Singh ,https://twitter.com/DrJitendraSingh,https://www.facebook.com/drjitendras,http://mdoner.gov.in/content/minister-doner
 Dr. Mahesh Sharma ,https://twitter.com/dr_maheshsharma,https://www.facebook.com/DrMaheshSharmaBJPNoida,http://www.indiaculture.nic.in/dr-mahesh-sharma
 Shri Ram Kripal Yadav ,https://twitter.com/ramkripalmp,https://www.facebook.com/ramkripal.yadav1/,http://rural.nic.in/about-us/whos-who
 Shri Haribhai Parthibhai Chaudhary ,,https://www.facebook.com/Haribhai.Parthibhai.Chaudhary,http://msme.gov.in/chaudharyshri-haribhai-parthibhai
 Shri S.S. Ahluwalia ,https://twitter.com/ssahluwaliamp,https://www.facebook.com/SSAhluwaliaForDarjeeling,http://www.mdws.gov.in/whos-who
 Shri Hansraj Gangaram Ahir ,https://twitter.com/ahir_hansraj,https://www.facebook.com/hansraj.ahir,
 Shri Manoj Sinha ,https://twitter.com/manojsinhabjp,https://www.facebook.com/manojsinhagzp,http://dir.railnet.gov.in/wiki/apex
 Shri P.P. Chaudhary ,https://twitter.com/ppchaudharymos,https://www.facebook.com/ppchaudharypali,http://lawmin.nic.in/mins.htm
 Shri Upendra Kushwaha ,,https://www.facebook.com/UpendraKushwahaRLSP,http://mhrd.gov.in/sites/upload_files/mhrd/files/06_09_2017.pdf
 Shri Radhakrishnan P ,https://twitter.com/ponnaarrbjp,https://www.facebook.com/PonnaarrBJP,http://dea.gov.in/minister/shri-p-radhakrishnan
 Shri Kiren Rijiju ,https://twitter.com/kirenrijiju,https://www.facebook.com/KirenRijiju/,http://mha.nic.in/sites/upload_files/mha/files/mhaTellist.pdf
 Shri Krishan Pal ,https://twitter.com/kpgbjp,https://www.facebook.com/KPGBJP/,http://disabilityaffairs.gov.in/content/minister/shri-krishan-pal-gurjar.php
 Shri Vijay Sampla ,,https://www.facebook.com/bjpvijaysampla/,http://socialjustice.nic.in/UserView/index?mid=1513
 Shri Vishnu Deo Sai ,,https://www.facebook.com/Vishnu-Deo-Sai-709410825811184,http://steel.gov.in/whos-who
 Shri Sudarshan Bhagat ,,https://www.facebook.com/sudarshanbhagatbjp,https://tribal.nic.in/contactUs.aspx
 Shri Vijay Goel ,https://twitter.com/vijaygoelbjp,https://www.facebook.com/Vijaygoeldelhibjp/,http://mpa.nic.in/mpa/telephone.aspx
 Shri Y.S. Chowdary ,https://twitter.com/yschowdary,https://www.facebook.com/yschowdary/,http://dst.gov.in/minister/shri-y-s-chowdary
 Shri Jayant Sinha ,https://twitter.com/jayantsinha,https://www.facebook.com/jayantsinhabjp/,http://www.civilaviation.gov.in/about-minister/whos-who
 Col. Rajyavardhan Singh Rathore ,https://twitter.com/ra_thore,https://www.facebook.com/Rathore,http://mib.nic.in/about-us/whos-who
 Shri Babul Supria (Babul Supriyo) Baral ,https://twitter.com/supriyobabul,https://www.facebook.com/BabulSupriyoOfficial/,http://dpe.gov.in/about-us/meet-the-minister
 Sadhvi Niranjan Jyoti ,,https://www.facebook.com/SadhviNiranjanJyoti.Official,http://mofpi.nic.in/about-us/whos-who
 Shri Ramdas Athawale ,,,
 Shri Ramesh Chandappa Jigajinagi ,,,
 Shri Rajen Gohain ,,,
 Shri Parshottam Rupala ,,,
 Shri M.J. Akbar ,,,
 Shri Jaswantsinh Sumanbhai Bhabhor ,,,
 Shri Arjun Ram Meghwal ,,,
 Shri Mansukh L. Mandaviya ,,,
 Smt. Anupriya Patel ,,,
 Shri C.R. Chaudhary ,,,
 Dr. Subhash Ramrao Bhamre ,,,
 Shri Ajay Tamta ,,,
 Smt. Krishna Raj ,,,
 Shri Alphons Kannanthanam ,https://twitter.com/alphonstourism,https://www.facebook.com/KJAlphons/,
 Shri Shiv Pratap Shukla ,,,
 Shri Ashwini Kumar Choubey ,,,
 Dr. Virendra Kumar ,,,
 Shri Anantkumar Hegde ,,,
 Shri Gajendra Singh Shekhawat ,,,
 Dr. Satya Pal Singh ,https://twitter.com/dr_satyapal,https://www.facebook.com/drsatyapal,http://mhrd.gov.in/minister-page
,,,
